plz,district,name,street,house_number,provider,licensed_capacity
10997,Friedrichshain-Kreuzberg,EKT - Whistcastle of Eternia,Görlitzer Str.,033,Whistcastle of Eternia e.V.,17
10997,Friedrichshain-Kreuzberg,EKT Bessere Zukunft für Kinder,Muskauer Str.,11A,Bessere Zukunft für Kinder e.V.,15
10997,Friedrichshain-Kreuzberg,Kita Köpenicker Straße 175,Köpenicker Str.,175,Naturkind Forum Kreuzberg gUG,15
10997,Friedrichshain-Kreuzberg,EKT Muskauer Str. 30,Muskauer Str.,030,Eltern - Initiativ - Tagesstätte Muskauer Str. 30 e. V.,14
10997,Friedrichshain-Kreuzberg,Waldorfkindertagesstätte im FORUM Kreuzberg,Köpenicker Str.,174,Forum Kreuzberg e.V.,0
10999,Friedrichshain-Kreuzberg,INA.KINDER.Garten,Dresdener Str.,128,INA.KINDER.GARTEN gGmbH,150
10999,Friedrichshain-Kreuzberg,Kita Reichenberger Str. 92/Kigä City,Reichenberger Str.,092,Kindergärten City,142
10999,Friedrichshain-Kreuzberg,Kita Komsu,Paul-Lincke-Ufer,012,Komsu e.V. Interkulturelle Kindertagesstätte,130
10999,Friedrichshain-Kreuzberg,Kita Leuschnerdamm 33,Leuschnerdamm,033,Kindergärten City,123
10999,Friedrichshain-Kreuzberg,Kita Bethaniendamm,Bethaniendamm,063,Juwo - Kita gGmbH,120
10999,Friedrichshain-Kreuzberg,Kita Reichenberger Str. 40/Kigä City,Reichenberger Str.,040,Kindergärten City,100
10999,Friedrichshain-Kreuzberg,Europa-Kita VAK e.V. Reichenberger Str. 156 A.,Reichenberger Str.,156,VAK e.V. - Kindertagesstätten,80
10999,Friedrichshain-Kreuzberg,Kath. Kita St. Michael,Dresdener Str.,029,Kitas im Erzbistum Berlin-Zweckverband der katholischen Kirchengemeinden,77
10999,Friedrichshain-Kreuzberg,Kindertagesstätte Sonnenkäferhaus,Ratiborstr.,008,Sonnenkäferhaus gGmbH,76
10999,Friedrichshain-Kreuzberg,Ev. Kita Emmaus-Ölberg,Lausitzer Str.,029,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,75
10999,Friedrichshain-Kreuzberg,AWO Kita Kastanie,Reichenberger Str.,122,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,63
10999,Friedrichshain-Kreuzberg,AWO Kita Wassertropfen,Oranienstr.,192,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,58
10999,Friedrichshain-Kreuzberg,EKT - Tentakel,Ohlauer Str.,39,Tentakel e.V.,40
10999,Friedrichshain-Kreuzberg,Kita KOTTI,Dresdener Str.,014,KOTTI - Nachbarschafts- und Gemeinwesenverein am Kottbusser Tor e.V.,38
10999,Friedrichshain-Kreuzberg,EKT - Spreesprotte,Glogauer Str.,026,Spreesprotten e. V.,35
10999,Friedrichshain-Kreuzberg,EKT Hollerbusch,Reichenberger Str.,99,Hollerbusch e.V.,33
10999,Friedrichshain-Kreuzberg,Kita Kunterbunt 1,Reichenberger Str.,062,Elternverein für Erziehung und Bildung e.V.,30
10999,Friedrichshain-Kreuzberg,Kita BABB Kreuzberg II,Liegnitzer Str.,017,TÄKS e. V.,30
10999,Friedrichshain-Kreuzberg,Kita Kunterbunt 2,Wiener Str.,001,Elternverein für Erziehung und Bildung e.V.,30
10999,Friedrichshain-Kreuzberg,EKT - Spreesprotte,Glogauer Str.,032,Spreesprotten e. V.,28
10999,Friedrichshain-Kreuzberg,EKT Jungle,Ohlauer Str.,001,Jungle e. V.,25
10999,Friedrichshain-Kreuzberg,"EKT - Regenbogenfabrik, Block 109",Lausitzer Str.,022,Regenbogenfabrik Block 109 e. V.,23
